userName,score,at,content
Dimas Bagus Prayoga,5,2022-01-18 03:57:07,Alhamdulillah terimakasi banyak pak 🙏🙏🙏🙏🙏🤲🤲🤲🤲🤲🤲 insyaallah selalu lancar
Gilang Adrian,1,2022-01-18 03:51:20,aplikasi tolol . daftar aja susah pdhl w pke simpati. daftar yg laen lanjay. emng aplikasi nya bnr bnr tolol 😡
Handokho Zed,5,2022-01-18 03:47:09,drivernya luwes n santai
Suneti Fadilah,5,2022-01-18 03:46:45,keren...murah dan mantap
Muliyaty_arief Djide,5,2022-01-18 03:45:59,tks
Franly Uring,1,2022-01-18 03:43:49,Saya tidak bisa membatalkan orderan . sangat parah
Sapawi Semprul,5,2022-01-18 03:30:33,good
Nihao Merdin,5,2022-01-18 03:30:11,driver nya friendly mantap
Izza Nazilla,5,2022-01-18 03:22:35,pengemudi nya ramah
Purnia Wati,5,2022-01-18 03:21:12,mas nya ramah
Yohanathe Flo,5,2022-01-18 03:05:25,Sangat baik
Opinasari Opinasari,5,2022-01-18 02:39:24,"kurir ramah,sopan,dan ngerti krn sya lg hamil wlwpn ga d ksi tau tpi dia bwa ny pelan²"
Ong Rizal,5,2022-01-18 02:29:33,sangat ramah
Nur Laela,5,2022-01-18 02:23:36,drivernya sangat ramah dan baik. . top pokok nya mudah2an semua maksim seperti driver ini
Fidelis F Siboro,5,2022-01-18 02:22:21,Ok
Egi Pradana,5,2022-01-18 02:17:19,ramah
fadhel akbar,5,2022-01-18 02:14:20,cepat
Zilong Zao,5,2022-01-18 02:11:26,ok
Asrul Hombing,5,2022-01-18 01:46:11,driver sangat baik dan ramah.. buat perusahaan Maxim jgn klen PM bg ni y
Juwita Adinda,5,2022-01-18 01:42:35,baik
Wisnu Hutama,5,2022-01-18 01:28:01,nice person ...quick services.. god job
al di,5,2022-01-18 01:23:02,oke punya dah bng mksih msukan nya bng 🙏🏻
Si Dodoy,5,2022-01-18 01:17:11,good
Iman Santoso,1,2022-01-18 01:16:59,Aplikasi bego ini tolol jgn diupdate srh sekolah yg pinter dulu
Al Pahsya,5,2022-01-18 01:14:38,Tolong donk map nya pake map google map aja...biar ga pusing..titiknya suka ngaco...biar sama kaya aplikasi sebelah..
Nanay Haryati,5,2022-01-18 01:11:41,pertahankan servis layanan harga murah manntapss
Regi Sinatra,1,2022-01-18 01:06:56,tolong ya pihak maxxim cari driver yg beradap yg baik ngomong nya..ngomong nya kasar kali terhadap penumpang..dapat pemgalaman yg tidak mengasikan pagi ini
Hilda Batis,5,2022-01-18 01:05:06,sangat membantu sekali cepat pelayanannya
Rizal Mulya sakti,5,2022-01-18 00:59:02,ramah bener orangnya mantap
余魏yuwei,5,2022-01-18 00:54:29,terima kasih pak..
Febi Febi,5,2022-01-18 00:41:53,gooodddd..hujan2 ttp ok antr brg mksh ya
Nancy Larasati,5,2022-01-18 00:40:27,"drivernya good, terimakasih berkat bapak saya.tidak telat"
